City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,15-05-2019,0.034751967,0.13690502,19.05,0.293082591,53.28,0.182771242,0.750475362,0.244657683,17.52,87.82,13.89,0.162050687,63,Satisfactory
Ahmedabad,16-05-2019,0.034751967,0.13690502,19.05,0.293082591,53.28,0.182771242,0.750475362,0.244657683,17.52,87.82,13.89,0.162050687,163,Moderate
Ahmedabad,17-05-2019,0.049573387,0.150162179,18.95,0.264885714,56.88,0.156519585,0.731626234,0.195150099,10.99,87.65,11.09,0.222005198,134,Moderate
Ahmedabad,18-05-2019,0.049573387,0.150162179,18.95,0.264885714,56.88,0.156519585,0.731626234,0.195150099,10.99,87.65,11.09,0.222005198,181,Moderate
Ahmedabad,19-05-2019,0.049573387,0.150162179,18.95,0.264885714,56.88,0.156519585,0.731626234,0.195150099,10.99,87.65,11.09,0.222005198,208,Poor
Ahmedabad,20-05-2019,0.049573387,0.150162179,18.95,0.264885714,56.88,0.156519585,0.731626234,0.195150099,10.99,87.65,11.09,0.222005198,417,Severe
Ahmedabad,21-05-2019,0.049573387,0.150162179,18.95,0.264885714,56.88,0.156519585,0.731626234,0.195150099,10.99,87.65,11.09,0.222005198,55,Satisfactory
Ahmedabad,22-05-2019,0.049573387,0.150162179,18.95,0.264885714,56.88,0.156519585,0.731626234,0.195150099,10.99,87.65,11.09,0.222005198,318,Very Poor
Ahmedabad,23-05-2019,0.049573387,0.150162179,18.95,0.264885714,56.88,0.156519585,0.731626234,0.195150099,10.99,87.65,11.09,0.222005198,478,Severe
Ahmedabad,24-05-2019,0.034751967,0.13690502,19.05,0.293082591,53.28,0.182771242,0.750475362,0.244657683,17.52,87.82,13.89,0.162050687,412,Severe
Ahmedabad,25-05-2019,0.038355904,0.153879226,14.33,0.260717026,59.63,0.186583446,0.571405757,0.242980289,19.8,82.72,10.32,0.157307375,376,Very Poor
Ahmedabad,26-05-2019,0.039691341,0.134474437,14.2,0.289205359,57.65,0.161968582,0.573748482,0.246164885,18.5,89.53,13.3,0.224892018,409,Severe
